id,slug,name,description
14,hell-yes-no,Hell Yes / No,"🤩 If you’re not feeling “Hell yes!”, say no. We miss out on the great because we’re busy with the mediocre. The solution is to say yes to less. If you’re not feeling “Hell yeah!” about something, say no. Then, when you find something you’re actually excited about, you’ll have the space in your life to give it your full attention. - Derek Sivers --- Most people are too busy to react when opportunities come our way. We miss out on the great because we’re busy with the mediocre. The solution is to say yes to less. If you’re not feeling “Hell yeah!” about something, say no. It’s an easier decision. Say no to almost everything. This starts to free your time and mind. Then, when you find something you’re actually excited about, you’ll have the space in your life to give it your full attention. You’ll be able to take massive action, in a way that most people can’t, because you cleared away your clutter in advance. Saying no makes your yes more powerful. Derek Sivers https://sive.rs/hyn"
15,other-persons-chair,Other Person's Chair,"🪑 Seek first to understand, then to be understood. In order to empathize better with other people, try to see a given situation from their perspective. Put yourself in their shoes. How would you act if you were sitting in their place?"
16,breathe,Breathe,"🌬️ Next time you are stressed or nervous, take five deep breaths. Deep breathing reduces stress and lowers blood pressure. It also increases energy, happiness and confidence. Consciously take 10 deep breaths at least 3 times per day."
17,laugh,Laugh,"🤣 Laugh as much as you can, every day. The average child laughs 300 times in a day. The average adult laughs only 30 times. Laughing release a cocktail of hormones. - We release endorphins, giving us a similar feeling to a runner’s high - We lower our cortisol, making us feel calmer - And we release dopamine, the same hormone released during sex, making us feel more bonded In essence, as far as our brains are concerned, laughing is like exercising, meditating and having sex at the same time."
18,celebrate,Celebrate,"🎉 Celebrate your successes, even the small ones. It's important to celebrate your wins because often, the journey is the destination. Enjoy the journey. Acknowledge what you have accomplished. This will give you the energy and motivation to achieve even more. Watch (1 min) The Jar of Awesome & Celebrating Small Wins"
19,five-people-rule,Five People Rule,"🖐️ You're the average of the five people you spend the most time with. Choose your five people wisely. Spend time with people who motivate, excite, and push you. Also, beware of the effects of your negative, unambitious, or angry friends. --- You are the average of the five people you spend the most time with. So do not underestimate the effects of your pessimistic, unambitious, or disorganized friends. Spend time with people that motivate, excite and push you. —- But I think maybe anchoring it into a long term goal would be good - Like who do you want to be - Who do you admire (what do you admire about them) - How do you want to feel - Who makes you feel good - etc"
20,be-legendary,Be Legendary,"🥊 Champions come and go, but to be legendary you have to have heart, more heart than the next person, more heart than anyone in the world - Muhammad Ali Whatever you do, do it with all your heart. Be legendary on any scale."
21,take-the-stairs,Take The Stairs,🧗
22,sleep,Sleep,"💤 Sleep 7-8 hours every night. Everything you do, you'll do better with a good night's sleep. A good night's sleep lowers your overall stress level, improves your mood, and enhances your health. --- mat walker - sleep superpower"
23,daily-highlight,Daily Highlight,"🌟 Have a daily highlight. Start your day by deciding on a highlight and scheduling time for it. This way, you'll have something fun to look forward to every day."
24,be-a-lighthouse,Be a Lighthouse,🔆 Be the change you wish to see in the world - Gandhi A lighthouse doesn't demand that ships change course. It simply serves as a strong navigational aid. Shine your light brightly and clearly. Be a lighthouse
25,greener-grass,Greener Grass,"🌱 The grass is always greener on the other side. Make it a habit to remember that everyone constantly seeks what they don't have. You're living someone else's biggest dream. The next time you're enviously looking at someone else's grass, find something to be grateful for. We often take the things we have for granted, constantly chasing the next thing. But that will only satisfy us temporarily. Gratitude is more sustainable. —————— https://www.healthygamer.gg/blog/the-scientific-benefits-of-touching-grass"
26,level-up,Level Up,"🚀 You are your standards From others and especially from yourself. If you want to improve your life, raise your standards."
27,be-a-vault,Be A Vault,🤐 Build a reputation of being a vault. Never kiss and tell. Trust and reputation are among the most valuable currencies in life. They take years to build but only seconds to destroy.
28,tidy-up,Tidy Up,"🧹 If you want to clear your head, clean your space first. Visible mess helps distract us from the true source of disorder. Visible mess distracts us from the true source of disorder. Get to the true source in six simple steps: Commit yourself to tidying up. Imagine your ideal lifestyle. Start by discarding. Tidy by category, not location. Follow the right order and ask yourself it it sparks joy? Read (6 min) Marie Kondo: Six Rules Of Tidying Up"
29,tree-rule,Tree Rule,"🌳 If you don't like where you're standing, move. You're not a tree. If you find yourself in a situation that is not serving you, remove yourself from it. If you find yourself in a situation that isn’t meeting your needs, change it. Ask yourself, what would make life more wonderful for you? Then take the appropriate action."
30,make-your-move,Make Your Move,"⚡️ Emotions follow motion. When you're feeling down, make a high-energy move to snap right out of it. Do jumping jacks, push-ups, or a power pose (stand like Superman). If you want to change your state of mind, move your body. Watch (1 min) Tony Robbins: Make Your Move"
31,kiss-many-frogs,Kiss Many Frogs,"😘 You have to kiss many frogs to find a prince. Segway Inc. used to hold Frog Kissing Days. They would take time to try out crazy new ideas and explicitly celebrate spectacular failures. Sometimes, one of those crazy ideas ended up being a prince. Go out and experiment. Either you'll win or you'll grow."
32,keep-calm,Keep Calm,"💭 It’s not what happens to you, but how you react to it that matters - Epictetus Keeping calm in stressful situations is always the best option. Choose calm over crazy."
33,the-one-thing,The One Thing,"🏆 Do fewer things for more effect instead of more things with side effects - Gary Keller Ask yourself in any given area of your life, “What's the one thing I can do, such that by doing it everything else is easier or unnecessary?”There may be many holes ahead, but the most important one is the one you are playing right now. Do fewer things for more effect instead of more things with side effects - Gary Keller"
34,donkey-rule-buridans-donkey,Donkey rule (Buridan‘s donkey),"🫏 The donkey keeps looking left and right, trying to decide between hay and water. Unable to decide, it eventually falls over and dies of hunger and thirst. A donkey can’t think of the future. If he could, he’d realise that he could first drink the water and then go eat the hay. Don‘t be a donkey. For more on long term thinking, read read Don‘t be a donkey by Derek Sivers https://sive.rs/donkey ——- Thinking isn’t doing , it might feel like doing but it’s not doing . Start doing"
35,relax,Relax,"🌴 Sometimes you just need to unwind and relax. Next time you’re feeling stressed, just kick back and relax for a bit."
36,mm-test,M&M Test,"💭 Little things matter. The rock band Van Halen had a “brown M&M’s clause” in their contracts with event organisers. The organisers were to provide M&M’s in the backstage area, but that there must be no brown M&M’s in the bowl. This small clause gave the band an easy way to check whether organisers actually paid attention to all the details in the contract."
37,eat-real-food,Eat Real Food,"💬 If your grandmother doesn't recognise it as food, it‘s probably not healthy - Michael Pollan —— Don't eat anything with more than five ingredients or that doesn't eventually rot. Real food eventually goes bad and thats ok. --- 7 Words & 7 Rules Eat food. Not too much. Mostly plants. (1) Don't eat anything your great grandmother wouldn't recognize as food. (2) Don’t eat anything with more than five ingredients, or ingredients you can't pronounce. (3) Stay out of the middle of the supermarket; shop on the perimeter of the store. Real food tends to be on the outer edge of the store near the loading docks, where it can be replaced with fresh foods when it goes bad. (4) Don't eat anything that won't eventually rot. There are exceptions -- honey -- but as a rule, things like Twinkies that never go bad aren't food. (5) Always leave the table a little hungry. In Japan, they say eat until you are four-fifths full. (6) Eat around a table and not a TV, with friends and family, not on the go and in a haste. (7) Don't buy food where you buy your gasoline. In the U.S., 20% of food is eaten in the car. Michael Pollan (Defense of Food: An Eater's Manifesto)"
38,schedule,Schedule,🗓️ Scheduling is the art of planning your activities so you can achieve your goals. Schedule your most important tasks first. Fit everything else around that. —— On schedule https://seths.blog/2022/01/on-schedule/ Mason Jar fills up https://tim.blog/2018/08/29/the-tim-ferriss-show-transcripts-drew-houston/
39,pareto-principle,Pareto principle,"⚖️ For many outcomes, roughly 80% of consequences come from 20% of the causes. Before starting any task, determine the vital 20% that can give you 80% of the result. Often 80% is all you need."
40,choose-distractions,Choose Distractions,"💭 Predetermine what you will do when you procrastinate. Everyone gets distracted at times. Create rules for positive procrastination. Rather than wasting time on social media, read a book, call a friend or do something positive you enjoy doing."
41,five-ws,Five Ws,"⁉️ If you want to get a complete picture of a situation, ask the 5 Ws Who, what, where, when and why"
42,remove-ants,Remove ants,"🐜 Remove Automatic Negative Thoughts (ANTs) from your mind. ANTs are cynical, gloomy and complaining thoughts that seem to be coming all by themselves. These thoughts can become self-fulfilling prophecies. Remove them in three steps (1) Become aware of the thoughts (2) Challenge them (3) Replace them with positive, affirming thoughts"
43,love-yourself,Love yourself,"☺️ Be kind to yourself. The only person you are always with is you. Why go in anger, sadness or frustration? Love yourself.—— You can only love others to the extent you love yourself . Worry never robs tomorrow of its sorrow. It only saps today of its joy. Practice self love. (1) Stop criticising yourself. If you are always looking for what you are missing you will never be happy. (2) Don’t take your thoughts that seriously, simply be a spectator. If others spoke to us the way we sometimes speak to ourselves we would not tolerate it."
44,feel-fabulous,Feel Fabulous,🤩 Figure out what makes you feel good and do it every day. Just make sure it‘s healthy and sustainable.
45,listen,Listen,🤫 Listen with the intent to understand not with the intent to respond . Humans have two ears and one mouth. Use them in that proportion.
46,who-luck,Who luck,"🍀 Seek out people who inspire, encourage and challenge you. “Who luck“ is the luck of finding the right mentor, partner, teammate, leader or friend. When luck turns bad, they will be here to help you. When times are good, they will celebrate with you."
47,sharpen-the-saw,Sharpen the saw,"🪚 If you have six hours to cut down a tree, spend the first four hours sharpening the saw."
48,smile,Smile,😃 Smiling instantly lifts your mood and lights up the room.
49,whos-it-serving,Who‘s it serving,💁
50,step-by-step,Step by step,"👣 The secret of getting ahead is getting started. The secret of getting started is breaking your complex overwhelming tasks into small manageable tasks, and starting on the first one. Mark Twain"
51,be-clear,Be Clear,"💎 Clarity is key. Always know what you want. And communicate it clearly. Use as few words as possible and as many as necessary. Remember the Rule of Threes: Never make more than three points.
Explain difficult ideas in three different ways. Make important points three times."
52,set-goals,Set goals,"🎯 You cannot achieve a goal that you do not have. In order to achieve anything, you have to set goals. —— Goal setting can give you motivation, satisfaction and purpose. It also gives you a direction and helps you focus on what is important. It guides you on where you want to go in life. Start with small / easy goals and get into the habit of achieving them. 
This will give you momentum and confidence so tackle larger goals. Set smart goals (S) Specific - clearly define your goal (M) Measurable - set milestones that need to be reached in order to keep on track (A) Achievable - ensure that you can actually accomplish them (realistically) (R) Relevant - know why you are doing it and why you want it (T) Time Bound - set a time frame in which you want to achieve the goal --- “If you want to live a happy life, tie it to goals, not to people.” –Albert Einstein"
53,three-cs,Three Cs,"3️⃣ Three Cs to make things happen. (1) CHECK Research if there has been a similar situation or if this has been done before. If yes, use and adapt. You don’t have to reinvent the wheel. (2) CONTACT 
Reach out to the people that you think could help you. Be relentless in your outreach. (3) CREATE Make a plan. Find like-minded people. Start."
54,own-your-niche,Own your niche,"🐾 Be a meaningful specific, not a wandering generality. Decide what is uniquely yours and grow from there. Find your niche. Only you can be you. Don’t bother trying to be someone else. Check out Kevin Kelly‘s essay 1000 true fans
https://kk.org/thetechnium/1000-true-fans/"
55,screw-monday,Screw Monday,"Whatever you’re putting off, don’t wait for “Monday“. Do it today. Do it now.

There’s never a perfect time to start a project, diet, relationship or anything. 

The best time is right now."
56,create-new-ways,Create New Ways,"💬 Where there‘s a will there‘s a way 

Determination and willpower will overcome any obstacle. 

If you want it you can do it. The question is just, how bad do you want it?"
57,kaizen,Kaizen,"🇯🇵 Kaizen is Japanese for continuous improvement

Every day, try to be a bit better than you were yesterday. 

Make this a habit. 

Things don’t equal happiness, but progress does.

https://bigthink.com/smart-skills/kaizen/"
58,just-ask,Just Ask,🧚
59,egg-basket-rule,Egg Basket Rule,"💬 Don‘t put all your eggs in one basket - Proverb

If you put all your effort into one thing and that thing does not work out, then you are left with nothing. 

Diversify."
60,write-it-down,Write it down,"Writing things down helps you take what is on your mind out of your head. 

It frees up head space and quiets the constant chatter known as the monkey mind. 

Get into the habit of jotting down ideas and notes in a little notebook or on your phone. 

——

A good way to get into the habit of writing is to start a five minute journal or morning pages.

Simply take a notebook or a word document, write the date and start writing whatever is on your mind for five minutes. Do this every day. You will feel the difference.

Richard Branson attributes much of his success to his constant note taking."
61,trigger-train,Trigger train,"Use triggers to build or replace unwanted habits

Triggers are everywhere. For example brushing your teeth before going to bed or washing your hands before meals.

A trigger train is a selection of habits that you perform one after the other, resulting in a compounding effect.

How to start
(1) Identify the habits you want to build
(2) Identify a trigger you will link to those habits
(3) Practice

Example
Say you want to improve your presence when entering a room.
Establish the rule that every time you walk through a doorway (any doorway) you straighten up and put a smile on your face.

At first this will seem strange but with time it will become second nature. You will have formed that habit.

—— 

Easier to add something into the context 
After CURRENT HABIT I will NEW HABIT  tie desired behavior to existing behavior"
62,study-systems-success-leaves-clues,Study systems (success leaves clues),"If someone consistently outperforms his peers in a certain task or area, then they aren’t lucky. 
They’ve figured out a system.

Seek out the top performer in the field you want to improve in and save time by modelling them.
Read their books, watch their videos and listen to their podcasts. Learn from their mistakes.

The harder you work the luckier you become.

Tony Robbins"
63,options-rule,Options rule,"💭 Have better options

It‘s not about how to best choose between options A and B. 

Rather, make sure that A and B are both good options. 

That way the final decision becomes less important."
64,eat-the-broccoli,Eat The Broccoli,"💭 If you want results you must do the work

You can’t live a healthy life without eating any ""broccoli"". 

And the comforting truth is, you might even start liking it.

What's the thing you don't like but you know is good for you? 

What's your broccoli?"
65,be-kind,Be Kind,"💭 Be kind. To yourself and to others. 

You always have a choice. Choose kindness, it will rarely come back to bite you 

——

Seth Godin - change things in your life to make things better for someone else. Generosity unlocks our passion"
66,play,Play,"💭 How you behave while playing a game is also how you behave in other areas of life

Want to get to know someone better? 
Play a game with them.

Do they cheat? 
Do they have a temper? 
Are they super competitive?

How you do anything is how you do everything."
67,live-life,Live life,"💭 Live life to the fullest and know what that means for you

You have to color outside the lines once in a while if you want to make your life a masterpiece. 

Laugh every day. Keep growing, keep dreaming, keep following your heart. 

Right now is the wisest you’ve ever been and the youngest you’ll ever be. 

Take chances, live life."
68,be-curious,Be curious,"Cultivate curiosity.

Don’t judge, be curious. 

If you want to grow, be as curious as a child. This way you will never stop learning."
69,remove-bottlenecks,Remove bottlenecks,"💭 Get more done by finding and eliminating bottlenecks

Bottlenecks are limiting steps in a process.

If it takes you 20 minutes to drive to work and another 30 minutes to find parking, parking is your bottleneck.

Bottlenecks destroy productivity. Take a look at your typical day. Bottlenecks might be hiding in your schedule without you realising it."
70,opportunity-bus,Opportunity bus,💭 Opportunities will come. Make sure you’re ready to get on the bus when they do.
71,closer-targets,Closer Targets,"💭 Move your target closer

Practice easy goals. 

Reaching an easy goal will give you confidence to replicate your success with harder goals."
72,puck-rule,Puck rule,"Skate to where the puck will be, not to where it has been. - Wayne Gretzky"
73,consistency-key,Consistency Key,"💭 Following a good plan regularly is better than following a perfect plan sometimes

Consistency compounds. 

Whatever you want more of in your life, make sure that you are doing it consistently.

The more you do it, the more you get."
74,opposites-attract,Opposites attract,"💭 You’d be surprised how much you can have in common with someone completely different from you.

Be curious. 
Be open. 
Be kind.

---
But only in temperament , nature demands a balance in temperament. That the more outgoing person is with the less outgoing person … ideal relationship is where the temperaments are nicely balanced // in all other aspect nature requires similarities - in values in attitudes towards children , money , family, in laws , standard of living , money - the greater the number of similarities the more happy you will be."
75,measure-manage,"Measure, manage","💭 What gets measured gets managed - Peter Drucker

Set measurable goals. 

Measure regularly and precisely. 

This way you will know if you are moving closer to your goal or not.

If you consistently miss your goals, adjust your approach. 

Learn, read, model or be an intern."
76,paint-a-picture,Paint a picture,"💭 A picture is worth a thousand words

If you want to communicate effectively, paint a picture. 

Paint with words, with paint or with whatever comes naturally."
77,think-different,Think different,"Here’s to the crazy ones, the misfits, the rebels, the troublemakers, the round pegs in the square holes… the ones who see things differently — they’re not fond of rules… You can quote them, disagree with them, glorify or vilify them, but the only thing you can’t do is ignore them because they change things… they push the human race forward, and while some may see them as the crazy ones, we see genius, because the ones who are crazy enough to think that they can change the world, are the ones who do.
— Steve Jobs, 1997

Lateral thinking 
https://fronterablog.com/lateral-thinking/"
78,principles,Principles,"Principles are ways of successfully dealing with reality to get what you want out of life.

Principles are fundamental truths that serve as the foundations for behaviour that gets you what you want out of life. They can be applied again and again in similar situations to help you achieve your goals.

For more on Ray Dalio https://www.principles.com/principles-for-success#play"
79,monetize-your-growth,Monetize your growth,"💭 Growth always requires training.
Find out how you can get paid while training. 

The Beatles trace their success to their time playing back-to-back shows in Hamburg, Germany.

The group got excessive practice and was paid £ 100 per week. 

Much more than promoters in Liverpool paid."
80,baby-steps,Baby Steps,"💬 A journey of a thousand miles starts with a single step. 

Take baby steps, but be consistent. 

Most overnight successes are actually 10 years in the making.

You get rewarded in public for what you have practiced in private."
81,shiny-objects,Shiny objects,"SOS - Shiny Object Syndrome 
This is the situation where people focus all attention on something that is new, current or trendy, yet drop this as soon as something new takes its place.

Beware of shiny objects. Don‘t be distracted by them. Keep your eyes on the prize.

Opportunities that are not aligned with your greater vision are distractions.
Stay narrow, stay deep."
82,start-with-why,Start with why,"Start with why because reasons reap results.
You need strong enough reasons to follow through, especially when things are not going well.

https://youtu.be/u4ZoJKF_VuA"
83,think-big,Think big,Your only limit is your mind. Think big. Start small.
84,say-thank-you,Say thank you,"Saying thank you is the most simple form of gratitude. 

When you say thank you people feel appreciated and loved. 
Making others feel good brings good back to you in unexpected ways.
It also makes you generally happier and healthier."
85,good-stuff-sticks,Good Stuff Sticks,"💭 Things that are truly remarkable stay in peoples minds

If you want to make something people remember, make good stuff."
86,d-discomfort,D (Dis)comfort,"💭 Get out of your comfort zone. This is how you grow

Eventually discomfort turns into comfort.

Start by asking yourself: “Why is this so uncomfortable?"""
87,run-your-race,Run your race,"When you’re in a race , don’t worry what the other runners are doing, just run

Don’t compare your chapter one to someone else’s chapter twenty. 

Run your own race.
Focus on being better than you were yesterday (Kaizen Link)"
88,meditate,Meditate,"The purpose of meditation isn’t merely to de-stress, or to sleep better, or to learn to be a little less neurotic. 
The purpose is to radically transform your sense of who and what you are.

Sam Harris  

Meditation is something we all have inside of us - No right or wrong … naval and Jaden smith on meditation"
89,be-a-bee,Be a Bee,"💭 Be a bee and cross pollinate

Take ideas or concepts from different places and combine them to make something new.

The best ideas come from mixing two or more seemingly unrelated things.

----

Bees are also
- good communicators, using vibrations to pass complex messages to one another
- cooperative in the hive, working to achieve success together
constant learners, moving through all the jobs in the hive before becoming good food gatherers
- always prepared, making honey when the sun shines, storing extra food for when times are not as good.

Bees serve the greater good. 
The queen is the servant of the team, laying eggs to ensure the survival of the colony.

—-

https://twitter.com/thewarkitchen/status/1686023280698814464?s=46"
90,bamboo-theory,Bamboo Theory,"Plant a Chinese bamboo sprout in the ground and for years nothing happens. 

You water and fertilize; water and fertilize, over and over again but you see no visible evidence that anything is happening.

However, in the fifth year things change dramatically. In a six-week period the Chinese bamboo tree grows up to 28 meters.

The lesson : things take time, you reap what you sow and be consistent. If you stop watering in year 3 the bamboo won’t grow in year 5."
91,bug-book,Bug Book,"💭 Study yourself like a bug and write your findings in a book

Observe your patterns, habits and behaviours to determine what you want to change.

Viewing yourself as a bug provides distance and removes judgement.

You can only improve what you measure

Concept inspired by Jim Collins"
92,think-ahead,Think ahead,"Failing to plan is planning to fail.

It’s better to think ahead and plan, than to look back and regret."
93,progress-not-perfection,Progress not perfection,"A person who has never made a mistake has never tried anything new - Albert Einstein

Fail early and fail often in order to succeed sooner."
94,proximity-is-power,Proximity is power,"💭 Turn your dreams and goals into reality faster, by getting into proximity with people who are already doing what you want to be doing

Surrounding yourself with these people will allow you to model what has already been proven to work."
95,delay-gratification,Delay Gratification,"💭 Delay immediate gratification for larger rewards later

The Stanford Marshmallow Experiment studied delayed gratification. 

A child was offered a choice between one marshmallow immediate, or two marshmallows later.

Researchers found that children who were able to wait for the two marshmallows tended to have better life outcomes, as measured by educational attainment, body mass index (BMI), and other life measures.

MAIN MESSAGE ??"
96,be-present,Be present,"The only real reality is the present moment.

The past is done and the future is yet to come."
97,ballet-or-rock-manage-expectations,Ballet or Rock (Manage Expectations),"💭 You can either hold a successful ballet or  rock concert - decide

Don’t hold a ballet and advertise it as a rock concert.

You need to be clear on what you are offering. 

If you do this effectively, people will self select automatically.

—-
https://feeds.feedblitz.com/~/703714818/0/sethsblog/posts~Paths-not-taken/"
98,morning-routine,Morning routine,"Your morning sets the tone of your entire day.
If you win the first hour of the day, you win the day.

Experiment with different activities such as exercise, meditation, journaling or reading. 

Make sure it is consistent and that you can stick to it."
99,make-simple-rules,Make simple rules,"💭 If you want to get results, establish rules to achieve them

The easier the rule, the higher the likelihood of you following it.

Reduce to the ridiculous.

----

Use the If this, then that framework.

Establish clear rules about when to throw out old junk. Once clear rules are established, junk will probably cease to be a problem. This is because any rule would be superior to our implicit behaviour (“keep this broken stereo for five years in case I learn how to fix it”). 

https://www.lesswrong.com/posts/7hFeMWC6Y5eaSixbD/100-tips-for-a-better-life"
100,remove-cant,Remove can’t,"Remove can’t from your vocabulary.
Words create emotions and emotions create actions.

Success is an attitude. 
He who says he can and he who says he can’t are both right.

Once you remove “can’t” you will look for ways that you “can”, which is very empowering.

New Name // Trash T! (as in get rid of it)"
101,break-it-down-set-sub-goals,Break it down / Set sub goals,"Break down large goals into small goals.

We overestimate what we can achieve in one year and we underestimate what we can achieve in 10 years.

Humans are better at small things. 

Take your 10 year goal and chop it into small, exciting one year goals.
Take your one year goal and chop it into monthly or even weekly goals.

Writing a 400 page novel in one year would mean writing 7,5 pages per week or just over one page per day."
102,persevere,Persevere,"There is one Yes for every 99 No’s

Don’t be discouraged by people who tell you no.

Instead listen, learn and get excited. 
Each no gets you closer to the next yes."
103,complete-tasks-hilariously,Complete Tasks Hilariously,"💭 Whatever you're doing, have fun while doing it

Take any problem or task and add a metric that brings you joy.

For instance, dance while doing chores in the house or sing while you’re working."
104,be-an-arrow,Be An Arrow,"💭 What pulled you back can also be what propels you forward.

A minor setback can prepare you for a major comeback. 

It's not how many times you get knocked down that counts, it's how many times you get back up."
105,memento-mori,Memento mori,"Remember that you will die. Life is finite. 

Treat it special and make the most out of it. 
Make time for things that bring you joy every day."
106,think-win-win,Think Win Win,"In the long run, if it isn’t a win, both parties lose. 
Win-win is the only option for long term success and happiness.

Whenever you interact with someone, make sure that both sides walk away feeling good."
107,be-punctual,Be Punctual,"💭 Being punctual is an easy way to build a reputation of being reliable.

It's an indicator of whether you mean what you say.

People always notice when you’re late. 

Respect their time, be punctual."
108,improve-1,Improve 1%,"Improve one percent every day

Trying to improve something by 100% can be very daunting. 
Instead, improve 1% every day and day by day that will compound.

Leverage the power of compounding and little by little, a little becomes a lot."
109,repot-yourself,Repot yourself,"If you feel like you have stopped growing, repot yourself.

If you put a plant into a bigger pot with new soil it will be able grow again.

Leave your comfort zone, try new things."
110,change-your-story,Change Your Story,"💭 Change your story, change your life

Eliminate limiting beliefs and invisible scripts. You are what you tell yourself.

Tell yourself you can or you can't - you'll be right either way.

---

TED Talk How changing your story can change your life | Lori Gottlieb https://www.youtube.com/watch?v=O_MQr4lHm0c"
111,own-it,Own it,"Leaders must take ownership of anything in their world.
If you want to lead, take responsibility."
112,be-honest,Be honest,No legacy is as rich as honesty.
113,rig-the-game,Rig the game,"Rig the game so you can win.

In order to win you need to set yourself up to win. 
Change your environment accordingly.

If you want to lose weight, don’t have junk food at the house.

---

If you want to stop engaging in a certain behaviour, stay clear of the people that do.

----

A good exercise to do is to ask yourself “what would this look like it it were easy”?

Set low goals. Goals that you can definitely reach. This way, by regularly reaching your goals you will build confidence and momentum.

Feeling like you are winning is the precursor to actually winning

——

Make accomplishing things as easy as possible. Find the easiest way to start exercising. Find the easiest way to start writing. People make things harder than they have to be and get frustrated when they can’t succeed. Try not to."
114,toughen-up,Toughen up,"It’s not how many times you get knocked down but how many times you get up.

It’s normal to feel sad, tired or uncomfortable sometimes. However, it’s always only temporary. 

When the going get tough, the tough get going."
115,failure-feedback,Failure Feedback,"Embrace failure to achieve success. 

Risk failure over again until all lessons are learned for the success.

There is no failure as long as you continue to learn and adapt.

In response to a question about his missteps, Thomas Edison once said, “I have not failed 10,000 times - I've successfully found 10,000 ways that will not work.

Reframe your thoughts around failure and replace the word with feedback.

It's impossible to succeed without failure. All great success is preceded by great failure."
116,visualize,Visualize,"You have to see before you can do.

For centuries it was believed that running a 4-minute mile was physically impossible. In 1954 Roger Bannister did it.

In addition to his physical practice, Roger practiced in his head. Over and over he envisioned himself breaking the 4 minute barrier.

Seeing is believing. By the end of 1957, 16 runners had broken the 4 minute mile.
---

“Every morning in Africa a gazelle wakes up. It knows it must move faster than the lion or it will not survive. Every morning a lion wakes up and it knows it must move faster than the slowest gazelle or it will starve. It doesn't matter if you are the lion or the gazelle, when the sun comes up, you better be moving.”
― Roger Bannister"
117,control-your-ego,Control your ego,"The true measure of a man is the degree to which he has managed to subjugate his ego - Einstein

The more we learn, the more we realize how little we actually know. 

The quieter you become, the more you are able to hear - Rumi


----

If ego is the voice that tells us we’re better than we really are, we can say ego inhibits true success by preventing a direct and honest connection to the world around us… The ways this separation manifests itself negatively are immense: We can’t work with other people if we’ve put up walls. We can’t improve the world if we don’t understand it or ourselves. We can’t take or receive feedback if we are incapable of or uninterested in hearing from outside sources.

From Ego is the Enemy by Ryan Holiday"
118,dont-fight-nature,Don‘t Fight Nature,"💬 Look deep into nature and you will understand everything better - Albert Einstein

Nature will not change. Understand and accept or use it. 

Whatever you do, don’t fight it. You will lose."
119,face-your-fear,Face Your Fear,"💬 What’s on the other side of fear?
Nothing - Jamie Foxx

We are often more afraid of the thought than the reality of a specific event or instance.

Make a habit of facing your fears whenever you can. 

This will help you get more comfortable and eventually overcome them.

The next time you say you can‘t, then you must. 

This will get you in the habit of stretching your comfort zone.

——
sive.rs/scares"
